suburb_name,suburb_slug,suburb_id,median_price_nzd,for_sale,sold_last_12m
Glenfield,puketaha,2339,1000000,83,352
Glenfield,waiatarua,2838,1000000,83,352
Glenfield,pakuranga-heights,1417,1000000,83,352
Glenfield,makarau,320,1000000,83,352
Glenfield,upper-plain,4231,1000000,83,352
Glenfield,karaka,3227,1000000,83,352
Glenfield,fernhillsunshine-bay,3811,1000000,83,352
Glenfield,lytton-west,4328,1000000,83,352
Glenfield,whareora,1230,1000000,83,352
Glenfield,hataitai,867,1000000,83,352
Glenfield,churton-park,428,1000000,83,352
Glenfield,whenuapai,103,1000000,83,352
Glenfield,mount-maunganui,2734,1000000,83,352
Glenfield,te-teko,3952,1000000,83,352
Glenfield,parau,1541,1000000,83,352
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Island Bay,island-bay,208,1025000,9,123
Island Bay,crofton-downs,2977,1025000,9,123
Island Bay,hobsonville,1185,1025000,9,123
Island Bay,westmorland,889,1025000,9,123
Island Bay,tutukaka,2688,1025000,9,123
Island Bay,highbury,3210,1025000,9,123
Island Bay,west-eyreton,4116,1025000,9,123
Island Bay,raglan,4084,1025000,9,123
Island Bay,bayswater,2708,1025000,9,123
Island Bay,titirangi,119,1025000,9,123
Island Bay,te-mata,3861,1025000,9,123
Island Bay,outram,3924,1025000,9,123
Island Bay,henderson-valley,1204,1025000,9,123
Island Bay,mangatawhiri,2870,1025000,9,123
Island Bay,warkworth,3842,1025000,9,123
Island Bay,aongatete,2826,1025000,9,123
Island Bay,wainui,2434,1025000,9,123
Island Bay,west-melton,2578,1025000,9,123
Island Bay,waipahihi,4356,1025000,9,123
Island Bay,tuahiwi,306,1025000,9,123
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Huntington,huntington,921,1043000,11,115
Huntington,huntington-park,464,1043000,11,115
Huntington,poraiti,3988,1043000,11,115
Huntington,manakau,4053,1043000,11,115
Huntington,whakatiwai,626,1043000,11,115
Huntington,snells-beach,323,1043000,11,115
Huntington,loburn,4144,1043000,11,115
Huntington,flagstaff,2436,1043000,11,115
Huntington,bannockburn,3181,1043000,11,115
Huntington,glen-innes,639,1043000,11,115
Huntington,whangamata,1088,1043000,11,115
Huntington,west-harbour,1485,1043000,11,115
Huntington,albany-heights,959,1043000,11,115
Huntington,matakatia,615,1043000,11,115
Huntington,wairakei-and-surrounds,4043,1043000,11,115
Huntington,sumner,2235,1043000,11,115
Huntington,cashmere,266,1043000,11,115
Huntington,hauraki-surrounds,3853,1043000,11,115
Huntington,mangere-bridge,273,1043000,11,115
Huntington,pukehina,2489,1043000,11,115
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Ellerslie,ellerslie,906,1070000,37,183
Ellerslie,albany,2100,1070000,37,183
Ellerslie,wadestown,1125,1070000,37,183
Ellerslie,waitati,762,1070000,37,183
Ellerslie,winchmore,1969,1070000,37,183
Ellerslie,paerata,1831,1070000,37,183
Ellerslie,acacia-bay,46,1070000,37,183
Ellerslie,kaiwharawhara,82,1070000,37,183
Ellerslie,whangaripo,3116,1070000,37,183
Ellerslie,ormond,4298,1070000,37,183
Ellerslie,ohau,1341,1070000,37,183
Ellerslie,prebbleton,1095,1070000,37,183
Ellerslie,mill-road,3886,1070000,37,183
Ellerslie,campbells-beach,10271,1070000,37,183
Ellerslie,stillwater,2993,1070000,37,183
Ellerslie,huntsbury,471,1070000,37,183
Ellerslie,nelson-city,2186,1070000,37,183
Ellerslie,northcross,1698,1070000,37,183
Ellerslie,howick,470,1070000,37,183
Ellerslie,wainui,3028,1070000,37,183
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Blockhouse Bay,blockhouse-bay,2776,1100000,65,231
Blockhouse Bay,south-head,3843,1100000,65,231
Blockhouse Bay,ostend,3108,1100000,65,231
Blockhouse Bay,breaker-bay,173,1100000,65,231
Blockhouse Bay,botany-downs,2810,1100000,65,231
Blockhouse Bay,surfdale,63,1100000,65,231
Blockhouse Bay,swanson,232,1100000,65,231
Blockhouse Bay,orewa,3046,1100000,65,231
Blockhouse Bay,buckland,2180,1100000,65,231
Blockhouse Bay,piha,3844,1100000,65,231
Blockhouse Bay,kinloch,59,1100000,65,231
Blockhouse Bay,bethlehem,3162,1100000,65,231
Blockhouse Bay,ruby-bay,4309,1100000,65,231
Blockhouse Bay,burswood,2773,1100000,65,231
Blockhouse Bay,lynfield,3152,1100000,65,231
Blockhouse Bay,waitakere,2090,1100000,65,231
Blockhouse Bay,waihi-beach,3957,1100000,65,231
Blockhouse Bay,kumeu,669,1100000,65,231
Blockhouse Bay,green-bay,2972,1100000,65,231
Blockhouse Bay,mount-pleasant,821,1100000,65,231
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Torbay,torbay,1046,1132900,83,288
Torbay,khandallah,1758,1132900,83,288
Torbay,lowry-bay,2040,1132900,83,288
Torbay,the-gardens,3226,1132900,83,288
Torbay,birkenhead,2558,1132900,83,288
Torbay,unsworth-heights,1564,1132900,83,288
Torbay,red-beach,738,1132900,83,288
Torbay,pataua,2193,1132900,83,288
Torbay,ascot,4308,1132900,83,288
Torbay,ngahinapouri,2925,1132900,83,288
Torbay,aotea,2909,1132900,83,288
Torbay,ardmore,1025,1132900,83,288
Torbay,pukekawa,1984,1132900,83,288
Torbay,kaiteriteri,4179,1132900,83,288
Torbay,thornton,2976,1132900,83,288
Torbay,queenstown,1724,1132900,83,288
Torbay,new-windsor,1491,1132900,83,288
Torbay,mauku,167,1132900,83,288
Torbay,ness-valley,1829,1132900,83,288
Torbay,arthurs-point,2307,1132900,83,288
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Leigh,leigh,1032,1180000,18,20
Leigh,whatawhata,1398,1180000,18,20
Leigh,redcliffs,113,1180000,18,20
Leigh,sunnynook,1822,1180000,18,20
Leigh,huapai,4272,1180000,18,20
Leigh,upper-moutere,1560,1180000,18,20
Leigh,three-kings,341,1180000,18,20
Leigh,hillsborough,398,1180000,18,20
Leigh,okura-bush,10272,1180000,18,20
Leigh,tai-tapu,387,1180000,18,20
Leigh,rarangi,975,1180000,18,20
Leigh,milldale,10270,1180000,18,20
Leigh,mount-albert,960,1180000,18,20
Leigh,oratia,1295,1180000,18,20
Leigh,styx,185,1180000,18,20
Leigh,eureka,1884,1180000,18,20
Leigh,onetangi,2204,1180000,18,20
Leigh,silverdale,596,1180000,18,20
Leigh,hurworth,4017,1180000,18,20
Leigh,te-horo,4094,1180000,18,20
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Kaukapakapa,kaukapakapa,1734,1215000,36,51
Kaukapakapa,tawharanui-peninsula,672,1215000,36,51
Kaukapakapa,patumahoe,1675,1215000,36,51
Kaukapakapa,maymorn,733,1215000,36,51
Kaukapakapa,strowan,1362,1215000,36,51
Kaukapakapa,waiwhakaiho,4369,1215000,36,51
Kaukapakapa,days-bay,1696,1215000,36,51
Kaukapakapa,queenstown-hill,4336,1215000,36,51
Kaukapakapa,tindalls-beach,1100,1215000,36,51
Kaukapakapa,algies-bay,1583,1215000,36,51
Kaukapakapa,long-bay,888,1215000,36,51
Kaukapakapa,cooks-beach,3864,1215000,36,51
Kaukapakapa,hexton,1866,1215000,36,51
Kaukapakapa,tauwhare,1081,1215000,36,51
Kaukapakapa,merivale,2720,1215000,36,51
Kaukapakapa,mapua,4181,1215000,36,51
Kaukapakapa,royal-oak,3010,1215000,36,51
Kaukapakapa,saint-johns,397,1215000,36,51
Kaukapakapa,lake-tarawera,1966,1215000,36,51
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Hillcrest,hillcrest,509,1250000,33,149
Hillcrest,lake-tarawera,1966,1250000,33,149
Hillcrest,pauatahanui,2820,1250000,33,149
Hillcrest,forrest-hill,1194,1250000,33,149
Hillcrest,hunua,1479,1250000,33,149
Hillcrest,mangatangi,553,1250000,33,149
Hillcrest,one-tree-hill,239,1250000,33,149
Hillcrest,fernside,4258,1250000,33,149
Hillcrest,te-miro,2716,1250000,33,149
Hillcrest,somerville,11,1250000,33,149
Hillcrest,swannanoa,3232,1250000,33,149
Hillcrest,pukekohe-east,3045,1250000,33,149
Hillcrest,whitemans-valley,1976,1250000,33,149
Hillcrest,redwood-valley,1184,1250000,33,149
Hillcrest,windsor-park,2644,1250000,33,149
Hillcrest,stepneyville,1420,1250000,33,149
Hillcrest,peka-peka,2990,1250000,33,149
Hillcrest,roseneath,902,1250000,33,149
Hillcrest,queensberry,4294,1250000,33,149
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Taupaki,taupaki,155,1300000,15,11
Taupaki,whakamarama,2941,1300000,15,11
Taupaki,ohaupo,3230,1300000,15,11
Taupaki,burnham,3019,1300000,15,11
Taupaki,half-moon-bay,2044,1300000,15,11
Taupaki,narrow-neck,1816,1300000,15,11
Taupaki,morningside,4302,1300000,15,11
Taupaki,kaipara-flats,3841,1300000,15,11
Taupaki,freemans-bay,1454,1300000,15,11
Taupaki,kingsland,843,1300000,15,11
Taupaki,kaimai,3956,1300000,15,11
Taupaki,rotokauri,1216,1300000,15,11
Taupaki,tikitere,1733,1300000,15,11
Taupaki,clifton,314,1300000,15,11
Taupaki,puni,1472,1300000,15,11
Taupaki,golflands,2819,1300000,15,11
Taupaki,oropi,1881,1300000,15,11
Taupaki,wairoa,392,1300000,15,11
Taupaki,albert-town,2188,1300000,15,11
Taupaki,hawea-flat,3820,1300000,15,11
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Hawea Flat,hawea-flat,3820,1350000,3,3
Hawea Flat,wanaka,2869,1350000,3,3
Hawea Flat,newstead,866,1350000,3,3
Hawea Flat,milford,203,1350000,3,3
Hawea Flat,karaka-bays,2352,1350000,3,3
Hawea Flat,waimauku,1166,1350000,3,3
Hawea Flat,cockle-bay,722,1350000,3,3
Hawea Flat,mission-bay,1342,1350000,3,3
Hawea Flat,mahurangi-east,3146,1350000,3,3
Hawea Flat,tauriko,2378,1350000,3,3
Hawea Flat,bucklands-beach,2787,1350000,3,3
Hawea Flat,stonefields,4253,1350000,3,3
Hawea Flat,waiake,1457,1350000,3,3
Hawea Flat,belmont,1545,1350000,3,3
Hawea Flat,waiotaiki-bay,4312,1350000,3,3
Hawea Flat,puhoi,3187,1350000,3,3
Hawea Flat,northpark,1232,1350000,3,3
Hawea Flat,kennedys-bush,2685,1350000,3,3
Hawea Flat,pauanui,655,1350000,3,3
Hawea Flat,judgeford,661,1350000,3,3
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Pauanui,pauanui,655,1400000,24,13
Pauanui,rukuhia,2626,1400000,24,13
Pauanui,judgeford,661,1400000,24,13
Pauanui,mangaroa,653,1400000,24,13
Pauanui,kelburn,1269,1400000,24,13
Pauanui,mission-heights,4305,1400000,24,13
Pauanui,hope,3198,1400000,24,13
Pauanui,sandringham,2212,1400000,24,13
Pauanui,riverhead,2428,1400000,24,13
Pauanui,chatswood,2001,1400000,24,13
Pauanui,beachlands,360,1400000,24,13
Pauanui,paremoremo,2962,1400000,24,13
Pauanui,millwater,4331,1400000,24,13
Pauanui,greenlane,1132,1400000,24,13
Pauanui,shelly-park,1540,1400000,24,13
Pauanui,lower-shotover,4316,1400000,24,13
Pauanui,jacks-point,3812,1400000,24,13
Pauanui,rothesay-bay,241,1400000,24,13
Pauanui,meadowbank,1506,1400000,24,13
Pauanui,ararimu,783,1400000,24,13
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Grey Lynn,grey-lynn,677,1500000,74,229
Grey Lynn,takapuna,144,1500000,74,229
Grey Lynn,clarkville,1174,1500000,74,229
Grey Lynn,mount-eden,1840,1500000,74,229
Grey Lynn,seatoun,2183,1500000,74,229
Grey Lynn,parnell,3838,1500000,74,229
Grey Lynn,fairview-heights,2073,1500000,74,229
Grey Lynn,hauraki,3068,1500000,74,229
Grey Lynn,lucas-heights,1305,1500000,74,229
Grey Lynn,pakiri,2357,1500000,74,229
Grey Lynn,fendalton,3249,1500000,74,229
Grey Lynn,bombay,408,1500000,74,229
Grey Lynn,dannemora,726,1500000,74,229
Grey Lynn,karapiro,4301,1500000,74,229
Grey Lynn,tamahere,1870,1500000,74,229
Grey Lynn,murrays-bay,2313,1500000,74,229
Grey Lynn,fairhall,3801,1500000,74,229
Grey Lynn,waiau-pa,2147,1500000,74,229
Grey Lynn,oneroa,3239,1500000,74,229
Grey Lynn,matangi,4303,1500000,74,229
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Greenhithe,greenhithe,624,1602000,37,111
Greenhithe,mairangi-bay,717,1602000,37,111
Greenhithe,waiheke-island,986,1602000,37,111
Greenhithe,point-chevalier,1503,1602000,37,111
Greenhithe,saint-marys-bay,823,1602000,37,111
Greenhithe,western-springs,2444,1602000,37,111
Greenhithe,northcote-point,584,1602000,37,111
Greenhithe,schnapper-rock,1843,1602000,37,111
Greenhithe,devonport,2285,1602000,37,111
Greenhithe,eastern-beach,468,1602000,37,111
Greenhithe,east-tamaki-heights,938,1602000,37,111
Greenhithe,pinehill,947,1602000,37,111
Greenhithe,puketapu,3987,1602000,37,111
Greenhithe,shamrock-park,2951,1602000,37,111
Greenhithe,campbells-bay,2938,1602000,37,111
Greenhithe,tairua,3856,1602000,37,111
Greenhithe,matakana,3840,1602000,37,111
Greenhithe,te-puna,1178,1602000,37,111
Greenhithe,muriwai,2875,1602000,37,111
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Castor Bay,castor-bay,873,1770000,22,71
Castor Bay,herald-island,3233,1770000,22,71
Castor Bay,saint-heliers,89,1770000,22,71
Castor Bay,sandspit,517,1770000,22,71
Castor Bay,kelvin-heights,2247,1770000,22,71
Castor Bay,kohimarama,245,1770000,22,71
Castor Bay,closeburn,3810,1770000,22,71
Castor Bay,runciman,1161,1770000,22,71
Castor Bay,farm-cove,2003,1770000,22,71
Castor Bay,mahurangi-west,1880,1770000,22,71
Castor Bay,orakei,737,1770000,22,71
Castor Bay,glendowie,3027,1770000,22,71
Castor Bay,palm-beach,696,1770000,22,71
Castor Bay,mellons-bay,2876,1770000,22,71
Castor Bay,ti-point,1693,1770000,22,71
Castor Bay,stanley-point,3151,1770000,22,71
Castor Bay,waitahanui,141,1770000,22,71
Castor Bay,horsham-downs,1274,1770000,22,71
Castor Bay,brookby,1171,1770000,22,71
Remuera,remuera,1962,-,148,-
Flat Bush,flat-bush,69,-,320,-
Epsom,epsom,1142,-,98,-
Browns Bay,browns-bay,2336,-,57,-
Auckland Central,auckland-central,3095,-,519,-
Herne Bay,herne-bay,1850,2100000,22,59
Herne Bay,waitoki,2229,2100000,22,59
Herne Bay,arrowtown,1596,2100000,22,59
Herne Bay,okura,1461,2100000,22,59
Herne Bay,nevis,4192,2100000,22,59
Herne Bay,westmere,1718,2100000,22,59
Herne Bay,point-wells,444,2100000,22,59
Herne Bay,ponsonby,3236,2100000,22,59
Herne Bay,coatesville,1366,2100000,22,59
Herne Bay,dairy-flat,1212,2100000,22,59
Herne Bay,whitford,1406,2100000,22,59
Herne Bay,omaha,3007,2100000,22,59
Herne Bay,dalefieldwakatipu-basin,4285,2100000,22,59
Herne Bay,treble-conemount-aspiring,3821,2100000,22,59
Herne Bay,te-arai,1480,2100000,22,59
